Job Title,Company,Location
Data Engineer Confirmé(e) H/F - Lyon,evoteo,Lyon
Back office Data Repository Manager - CDI - Paris,Gireve,Sèvres
DATA SCIENTIST SENIOR,TotalEnergies Digital Factory,Paris
Senior Data Analyst,Ornikar,Paris
Data Engineer (H/F),Wemanity,Lille
Ingénieur énergie datacenters F/H,Bouygues Telecom,Vélizy-Villacoublay
Senior Data Manager,Kanbios,Paris
Machine Learning Engineer (f/m/d) - Pricing Analytics- Remote-friendly 🚀,Free2move,Paris
 Consultant(e) MSBI - Secteur ETEMS F/H ,CGI,Paris
Data Analyst Senior,Exotec,Lille
Ingénieur développement SCALA / AWS - F/H,CS,Fontaine
Senior Consultant à Manager – Data Management F/H,In Extenso,Paris
Senior Consultant à Manager – Data Governance F/H,In Extenso,Paris
Principal Data Architect (F/H/X),AVIV Group,Paris
Principal Data Architect (F/H/X),SeLoger & Meilleurs Agents,Paris
Data Engineer (H/F),EXTIA,Sophia-Antipolis
Architecte solution Big Data & Datascience - Services Publics - Nantes,Sopra Steria,Nantes
Expert produit Big Data & Data Science - Services Publics - Nantes,Sopra Steria,Nantes
Ingénieur Data - Services Publics - Nantes,Sopra Steria,Nantes
Machine Learning Engineer,Lucky Cart,Paris
Consultant BI Confirmé(e) H/F - Lyon,evoteo,Lyon
Data Analyst Confirmé(e) H/F - Lyon,evoteo,Lyon
Gestionnaire Data H/F,LEASECOM,Carquefou
Ingénieur Data - Services Publics - Nantes,Sopra Steria,Nantes
Data Scientist H/F,Malou,Paris
Data Analyst (H/F),Harry Hope,Nancy
Data Analyst ESG F/H,Bpifrance.io,Maisons-Alfort
Développeur Big Data F/H,Bpifrance.io,Maisons-Alfort
Ingénieur Data,Daveo,Lille
Data Officer (H/F),GROUPE COFIDIS,Villeneuve-d'Ascq
Data Analyst Senior- H/F,NEXTON,Lille
Docteur Data Scientist - F/H,BimBamJob,Paris
Gestionnaire de données ,Easypicky,Montpellier
ANALYSTE SOC H/F,SysDream,Tremblay-en-France
